"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
101,"NCT04273321","Efficacy and Safety of Corticosteroids in COVID-19",,"Recruiting","No Results Available","COVID-19|Novel Coronavirus Pneumonia","Drug: Methylprednisolone","the incidence of treatment failure in 14 days|clinical cure incidence in 14 days|the duration of virus change to negative|mortality at day 30|ICU admission rate in 30 days","Beijing Chao Yang Hospital","All","18 Years and older   (Adult, Older Adult)","Not Applicable","400","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Methylprednisolone in COVID-19","February 14, 2020","May 1, 2020","May 30, 2020","February 18, 2020",,"April 1, 2020","Hubei province hospital of integrated Chinese & Western Medicine, Wuhan, Hubei, China|Yichang first people's Hospital, Yichang, Hubei, China|Beijing YouAn Hospital, Beijing, China|Renmin Hospital of Wuhan University, Wuhan, China|Tianyou Hospital Affiliated to Wuhan University of science and technology, Wuhan, China|Union Hospital Affiliated to Tongji Medical College of Huazhong University of science and technology, Wuhan, China|the first peopel hospital of Xiangyang, Xiangyang, China",,"https://ClinicalTrials.gov/show/NCT04273321"
102,"NCT04338360","Expanded Access to Convalescent Plasma for the Treatment of Patients With COVID-19",,"Available","No Results Available","COVID19","Biological: COVID-19 convalescent plasma",,"Mayo Clinic","All","18 Years and older   (Adult, Older Adult)",,,"Other","Expanded Access:Intermediate-size Population",,"20-003312",,,,"April 8, 2020",,"April 8, 2020","Mayo Clinic in Arizona, Scottsdale, Arizona, United States|Mayo Clinic in Florida, Jacksonville, Florida, United States|Mayo Clinic Health System in Albert Lea, Albert Lea, Minnesota, United States|Mayo Clinic Health System in Austin, Austin, Minnesota, United States|Mayo Clinic Health System in Cannon Falls, Cannon Falls, Minnesota, United States|Mayo Clinic Health System in Lake City, Lake City, Minnesota, United States|Mayo Clinic Health System in Mankato, Mankato, Minnesota, United States|Mayo Clinic Health System in Owatonna, Owatonna, Minnesota, United States|Mayo Clinic Health System in Red Wing, Red Wing, Minnesota, United States|Mayo Clinic in Rochester, Rochester, Minnesota, United States|Mayo Clinic Health System - Eau Claire, Eau Claire, Wisconsin, United States|Mayo Clinic Health System - Franciscan Healthcare, La Crosse, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04338360"
103,"NCT04331665","Study of the Efficacy and Safety of Ruxolitinib to Treat COVID-19 Pneumonia",,"Not yet recruiting","No Results Available","COVID-19|Pneumonia","Drug: Ruxolitinib","Proportion of patients with COVID-19 pneumonia who become critically ill (defined as requiring mechanical ventilation and/or FiO2 of 60% of more)|All cause mortality rate|Average duration of hospital stay|Number of occurrence of secondary infections","University Health Network, Toronto","All","12 Years and older   (Child, Adult, Older Adult)","Not Applicable","64","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","U-DEPLOY: RUX-COVID|20-5315","April 6, 2020","October 30, 2020","January 31, 2021","April 2, 2020",,"April 3, 2020","Princess Margaret Cancer Centre, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04331665"
104,"NCT04318444","Hydroxychloroquine Post Exposure Prophylaxis for Coronavirus Disease (COVID-19)",,"Not yet recruiting","No Results Available","COVID-19|Corona Virus Infection","Drug: Hydroxychloroquine|Drug: Placebo oral tablet","Number of participants with symptomatic, lab-confirmed COVID-19.","Columbia University","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","1600","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","AAAS9676","March 2020","March 2021","March 2022","March 24, 2020",,"March 25, 2020","Columbia University Irving Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04318444"
105,"NCT04336774","CAPTION AI to Minimize Risk of COVID Exposure","CAPTION AI","Not yet recruiting","No Results Available","COVID-19","Device: Caption AI","Percent of patient echos that are not interpretable|Percent of patient echos that provide an automated (AI) LVEF (left ventricular ejection fraction)|Time to acquire images as measured by time stamps|Percent of agreement between AI calculate LVEF and LVEF read by physician","Duke University|Caption Health, Inc.","All","18 Years and older   (Adult, Older Adult)","Not Applicable","500","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","pro00105212","April 2020","November 1, 2020","November 9, 2020","April 7, 2020",,"April 7, 2020","Duke University Medical Center, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04336774"
106,"NCT04318015","Hydroxychloroquine Chemoprophylaxis in Healthcare Personnel in Contact With COVID-19 Patients (PHYDRA Trial)","PHYDRA","Not yet recruiting","No Results Available","COVID-19|Severe Acute Respiratory Syndrome","Drug: Hydroxychloroquine|Drug: Placebo oral tablet","Symptomatic COVID-19 infection rate|Symptomatic non-COVID viral infection rate|Days of labor absenteeism|Rate of labor absenteeism|Rate of severe respiratory COVID-19 disease in healthcare personnel","National Institute of Respiratory Diseases, Mexico|Sanofi","All","18 Years and older   (Adult, Older Adult)","Phase 3","400","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","ProfilaxisCOVID","April 1, 2020","December 31, 2020","March 31, 2021","March 23, 2020",,"March 23, 2020",,,"https://ClinicalTrials.gov/show/NCT04318015"
107,"NCT04323345","Efficacy of Natural Honey Treatment in Patients With Novel Coronavirus",,"Not yet recruiting","No Results Available","COVID-19","Dietary Supplement: Natural Honey|Other: Standard Care","Rate of recovery from positive to negative swaps|Fever to normal temperature in days|Resolution of lung inflammation in CT or X ray|30 days mortality rate|Number of days till reaching negative swab results","Misr University for Science and Technology","All","5 Years to 75 Years   (Child, Adult, Older Adult)","Phase 3","1000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment","MUST23032020","March 25, 2020","April 25, 2020","May 10, 2020","March 26, 2020",,"March 26, 2020","Mahmoud Tantawy, Cairo, Egypt",,"https://ClinicalTrials.gov/show/NCT04323345"
108,"NCT04328272","Effectiveness of Hydroxychloroquine in Covid-19 Patients","Covid","Not yet recruiting","No Results Available","COVID19","Drug: Hydroxychloroquine 200 Mg Oral Tablet|Drug: Azithromycin 500Mg Oral Tablet|Dietary Supplement: Glucose tablets","National Early Warning Score equal to zero|C-reactive proteins|Lymphocyte Count|d-dimers","Prof. Dr. Umar Farooq|Ayub Medical College, Abbottabad","All","18 Years to 50 Years   (Adult)","Phase 3","75","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","Ath/ct101/22/3","March 28, 2020","May 28, 2020","June 28, 2020","March 31, 2020",,"April 2, 2020","Ayub Teaching Institution, Abbottābād, K.p.k, Pakistan",,"https://ClinicalTrials.gov/show/NCT04328272"
109,"NCT04327531","Evaluation of Covid 19 Knowledge Anxiety and Expectation Levels of Turkish Physicians, Survey Study",,"Active, not recruiting","No Results Available","COVID-19|Physician-Patient Relations","Behavioral: turkish physicians","Evaluation of covid-19 knowledge level of turkish physicians|what they think about the future","Kanuni Sultan Suleyman Training and Research Hospital","All","25 Years to 55 Years   (Adult)",,"200","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Prospective","turkishcovid19","March 26, 2020","April 26, 2020","April 28, 2020","March 31, 2020",,"April 2, 2020","Pinar Yalcin Bahat, Istanbul, İ̇stanbul, Turkey",,"https://ClinicalTrials.gov/show/NCT04327531"
110,"NCT04335019","Interest of the Use of Pulmonary Ultrasound in the Referral of Patients With or Suspected COVID-19 +","eChoVid","Not yet recruiting","No Results Available","2019-nCoV (COVID-19)|Interstitial Pneumonia","Other: Pulmonary ultrasound","Association of pulmonary lesions on ultrasound on D0 classified according to three stages of severity|Assessment of the agreement between a newly trained operator and an experienced operator of classification in one of the three stages of ultrasound gravity, by Cohen's kappa coefficient.|Estimate in patients who had a CT-scan on D0, the agreement in the evaluation of the severity of lung lesions via ultrasound vs. CT-scan, by Cohen's kappa coefficient|Measurement of the cumulative incidence of invasive mechanical ventilation and measurement of survival","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)",,"300","Other","Observational","Observational Model: Other|Time Perspective: Prospective","APHP200390|2020-A00768-31","April 2020","April 2020","May 2020","April 6, 2020",,"April 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04335019"
111,"NCT04334291","International COVID19 Clinical Evaluation Registry,","HOPE COVID 19","Recruiting","No Results Available","COVID 19","Combination Product: Observational (registry)","Death|In hospital stay.|Heart failure|Renal failure|Respiratory Insufficiency.|Upper respiratory tract involvement|Pneumonia|Sepsis|Systemic inflammatory response Syndrome.|Clinically relevant bleeding|Other complications.","IVAN J NUÑEZ GIL|St Carlos Hospital, Madrid, Spain","All","Child, Adult, Older Adult",,"2500","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","20/241-E|EUPAS34399","March 23, 2020","May 1, 2020","May 5, 2020","April 6, 2020",,"April 6, 2020","Hospital Lclinico San Carlos, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT04334291"
112,"NCT04333914","Prospective Study in Patients With Advanced or Metastatic Cancer and SARS-CoV-2 (COVID-19) Infection","IMMUNONCOVID","Recruiting","No Results Available","SARS-CoV-2 (COVID-19) Infection|Advanced or Metastatic Hematological or Solid Tumor","Drug: Chloroquine analog (GNS651)|Drug: Nivolumab|Drug: Tocilizumab|Other: Standard of care","28-day survival rate|Time to clinical improvement|Clinical status|Mean change in clinical status from baseline to days|Overall survival|Length of stay in Intensive Care Unit|Duration of mechanical ventilation or high flow oxygen devices|Duration of hospitalization|Rate of throat swab negativation|Quantitative SARS-CoV-2 virus in throat swab and blood samples|Rate of secondary infection by other documented pathogens|Biological parameters|Number of participants with treatment-related adverse events as assessed by CTCAE v5.0|Cost-Effectiveness Analyses (CEA)","Centre Leon Berard","All","18 Years and older   (Adult, Older Adult)","Phase 2","273","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ET20-076 - IMMUNONCOVID-20|2020-001373-70","April 2020","June 2020","August 2020","April 3, 2020",,"April 7, 2020","Centre Léon Bérard, Lyon, Rhône, France",,"https://ClinicalTrials.gov/show/NCT04333914"
113,"NCT04323644","Outcomes of Surgery in COVID-19 Infection: International Cohort Study (CovidSurg)","CovidSurg","Not yet recruiting","No Results Available","COVID-19|Coronavirus|Surgery","Procedure: Surgery","30-day mortality|7-day mortality|30-day reoperation|Postoperative ICU admission|Postoperative respiratory failure|Postoperative acute respiratory distress syndrome (ARDS)|Postoperative sepsis","University of Birmingham","All","Child, Adult, Older Adult",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Other","CS-20200324","March 31, 2020","September 30, 2020","September 30, 2020","March 26, 2020",,"March 26, 2020",,,"https://ClinicalTrials.gov/show/NCT04323644"
114,"NCT04251767","Washed Microbiota Transplantation for Patients With 2019-nCoV Infection",,"Withdrawn","No Results Available","COVID-19 Complicated With Refractory Intestinal Infections","Other: washed microbiota transplantation|Other: placebo","Number of participants with improvement from severe type to common type","The Second Hospital of Nanjing Medical University","All","14 Years to 70 Years   (Child, Adult, Older Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","WMT-YJ-202001","February 5, 2020","April 30, 2020","April 30, 2020","February 5, 2020",,"March 17, 2020","Medical Center for Digestive Diseases, The Second Affiliated Hospital of Nanjing Medical University, Nanjing, Jiangsu, China",,"https://ClinicalTrials.gov/show/NCT04251767"
115,"NCT04330144","Hydroxychloroquine as Post Exposure Prophylaxis for SARS-CoV-2(HOPE Trial)",,"Not yet recruiting","No Results Available","Contact Person From COVID-19 Confirmed Patient","Drug: Hydroxychloroquine as post exposure prophylaxis|Other: Others(No intervention)","The rate of COVID-19","Gangnam Severance Hospital","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 3","2486","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","3-2020-0036","April 1, 2020","March 30, 2021","March 30, 2022","April 1, 2020",,"April 1, 2020",,,"https://ClinicalTrials.gov/show/NCT04330144"
116,"NCT04338958","Ruxolitinib in Covid-19 Patients With Defined Hyperinflammation","RuxCoFlam","Not yet recruiting","No Results Available","Covid-19","Drug: Ruxolitinib 10 MG","overall response rate in reversal of hyperinflammation|efficacy of ruxolitinib + standard-of-care (SoC)","Prof. Dr. med. Andreas Hochhaus|University of Jena","All","18 Years and older   (Adult, Older Adult)","Phase 2","200","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RuxCoFlam","May 1, 2020","January 31, 2021","August 31, 2021","April 8, 2020",,"April 8, 2020","University Hospital Jena, Jena, Germany",,"https://ClinicalTrials.gov/show/NCT04338958"
